gbifID,countryCode,acceptedScientificName,specificEpithet,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet.1,infraspecificEpithet,cultivarEpithet,speciesKey,identifier
1056630241,,"Spondylus butleri Reeve, 1856",butleri,Bivalvia,Pectinida,,Spondylidae,,,,Spondylus,Spondylus,,,butleri,,,5794814.0,https://data.nhm.ac.uk/media/96fb844e-d30e-43be-9443-ec076b6a119e
1055366400,IN,"Uperotus clava (Gmelin, 1791)",clava,Bivalvia,Myida,,Teredinidae,,,,Uperotus,Teredo,,,clava,,,6522037.0,https://data.nhm.ac.uk/media/e392a186-718d-4878-917f-f5e37c65a16d
1056829037,EG,"Brachidontes pharaonis (P.Fischer, 1870)",pharaonis,Bivalvia,Mytilida,,Mytilidae,,,,Brachidontes,Brachidontes,,,pharaonis,,,4374596.0,https://data.nhm.ac.uk/media/e34ba2be-01c7-4118-bffc-e1c29928bd91
1057130921,AU,"Pinna atropurpurea G.B.Sowerby I, 1825",atropurpurea,Bivalvia,Ostreida,,Pinnidae,,,,Pinna,Pinna,,,atropurpurea,,,6127095.0,https://data.nhm.ac.uk/media/b78fbbfc-2c20-43bc-82e2-ebeb045f41ff
1057377390,GB,"Sphaerium corneum (Linnaeus, 1758)",cornea,Bivalvia,Sphaeriida,,Sphaeriidae,,,,Sphaerium,Cyclas,,,cornea,,,2286709.0,https://data.nhm.ac.uk/media/0aed9adc-3f75-4c6f-a61c-f0338c9df277
1055431276,CA,"Euglesa casertana (Poli, 1791)",casertanum,Bivalvia,Sphaeriida,,Sphaeriidae,,,,Euglesa,Pisidium,,,casertanum,,,7664805.0,https://data.nhm.ac.uk/media/2280363b-f4f4-4907-b48f-44f1b1a512be
1055538492,OM,"Barbatia J.E.Gray, 1842",,Bivalvia,Arcida,,Arcidae,,,,Barbatia,Barbatia,,,,,,,https://data.nhm.ac.uk/media/102c21fe-ef4a-46c3-8b37-45621d76310f
1057294074,SC,"Asaphis deflorata (Linnaeus, 1758)",deflorata,Bivalvia,Cardiida,,Psammobiidae,,,,Asaphis,Asaphis,,,deflorata,,,2286793.0,https://data.nhm.ac.uk/media/1b7a3a09-3895-4ec5-90e4-d837295697cc
1056261190,,"Bentharca asperula (Dall, 1881)",asperula,Bivalvia,Arcida,,Arcidae,,,,Bentharca,Acar,,,asperula,,,2286203.0,https://data.nhm.ac.uk/media/138e4b09-19d0-4c69-ae80-fd7abe85cf77
1056736103,,"Lissarca miliaris (R.A.Philippi, 1845)",miliaris,Bivalvia,Arcida,,Philobryidae,,,,Lissarca,Lissarca,,,miliaris,,,4373278.0,https://data.nhm.ac.uk/media/792d840b-952a-41a7-b06d-08b672a3a3f7
1057594816,GB,"Mytilus edulis Linnaeus, 1758",edulis,Bivalvia,Mytilida,,Mytilidae,,,,Mytilus,Mytilus,,,edulis,,,8288896.0,https://data.nhm.ac.uk/media/61850fab-acd2-46bb-b319-2784e4f927a7
